param_rebalance_days,param_weight_6m,param_min_score_percentile,param_min_52w_high_prox,param_target_positions,param_initial_stop_loss,param_trailing_stop,total_return,cagr,sharpe_ratio,max_drawdown,win_rate,total_trades
21,0.5,93,0.85,15,0.15,0.12,1.1789469500000003,0.21544597389633346,4.794310086881221,-0.28481431891207093,0.5045045045045045,292
21,0.5,95,0.85,15,0.15,0.12,1.1363715812499997,0.20945241175500717,4.755901288356812,-0.27595463930257513,0.5046728971962616,282
15,0.5,95,0.85,15,0.15,0.12,1.4323718874999996,0.2494131395536776,4.653498293537276,-0.28844264031585803,0.5084745762711864,325
15,0.5,93,0.85,15,0.15,0.12,1.2525786187499999,0.2256074977029492,4.478302454641394,-0.2847161636387065,0.5,367
21,0.6,93,0.85,15,0.15,0.12,0.9183319937499996,0.17727109038473854,4.248710908175469,-0.26644807330133113,0.49230769230769234,327
21,0.6,95,0.85,15,0.15,0.12,0.8840513687500009,0.17196513921041534,4.08627198018953,-0.28024439286654895,0.5135135135135135,284
15,0.6,93,0.85,15,0.15,0.12,1.0073428000000004,0.1907238585257689,3.8514072354735998,-0.2803970334205876,0.5073529411764706,362
15,0.6,95,0.85,15,0.15,0.12,1.0260831499999998,0.19349900613293092,3.691757488451555,-0.3166781870058657,0.5547445255474452,357
