,equity
2025-05-04 18:30:00.000000,1600000.0
2025-06-02 18:30:00.000000,1612453.2500000002
2025-07-01 18:30:00.000000,1706524.83
2025-07-30 18:30:00.000000,1627921.7999999998
2025-09-01 18:30:00.000000,1646433.84
2025-09-30 18:30:00.000000,1682815.6000000003
2025-11-02 18:30:00.000000,1689084.04
2025-12-02 18:30:00.000000,1704997.2300000002
2026-01-01 18:30:00.000000,1840590.4300000002
2026-01-28 15:37:28.770439,1900341.73
